Census,CountyOrigin,MunicipalityOrigin,DestinationState,DestinationCounty,DestinationMunicipality,LeavingArea,DirectionalCategories,InTown,ModeToWork,TotalEstCommutersOUT,InCityCommutersOUT,OutOfTownCommutersOUT,MarginOfError
2009-2013,Mercer County,Trenton city,New Jersey,Middlesex County,South Plainfield borough,out of area,NJ-NorthEast,out-of-town,Other travel mode,40,0,40,63
2009-2013,Mercer County,Trenton city,New Jersey,Monmouth County,Holmdel township,out of area,NJ-Shore,out-of-town,"Car, truck, or van: Drove alone",17,0,17,27
2009-2013,Mercer County,Trenton city,New Jersey,Monmouth County,Holmdel township,out of area,NJ-Shore,out-of-town,Other travel mode,4,0,4,7
2009-2013,Mercer County,Trenton city,New Jersey,Monmouth County,Upper Freehold township,out of area,NJ-Shore,out-of-town,"Car, truck, or van: Carpooled",25,0,25,42
2009-2013,Mercer County,Trenton city,New Jersey,Ocean County,Jackson township,out of area,NJ-Shore,out-of-town,"Car, truck, or van: Drove alone",27,0,27,30
2009-2013,Mercer County,Trenton city,New Jersey,Ocean County,Jackson township,out of area,NJ-Shore,out-of-town,"Car, truck, or van: Carpooled",25,0,25,28
2009-2013,Mercer County,Trenton city,New Jersey,Ocean County,Lakewood township,out of area,NJ-Shore,out-of-town,"Car, truck, or van: Carpooled",82,0,82,92
2009-2013,Mercer County,Trenton city,New Jersey,Somerset County,Bridgewater township,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Drove alone",7,0,7,11
2009-2013,Mercer County,Trenton city,New Jersey,Somerset County,Bridgewater township,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Carpooled",52,0,52,62
2009-2013,Mercer County,Trenton city,New Jersey,Mercer County,East Windsor township,in area,US1-Southwest,out-of-town,"Car, truck, or van: Drove alone",207,0,207,96
2009-2013,Mercer County,Trenton city,New Jersey,Mercer County,East Windsor township,in area,US1-Southwest,out-of-town,"Car, truck, or van: Carpooled",191,0,191,103
2009-2013,Mercer County,Trenton city,New Jersey,Mercer County,East Windsor township,in area,US1-Southwest,out-of-town,Other travel mode,24,0,24,37
2009-2013,Mercer County,Trenton city,New Jersey,Mercer County,Ewing township,in area,US1-Northwest,out-of-town,"Car, truck, or van: Drove alone",1859,0,1859,299
2009-2013,Mercer County,Trenton city,New Jersey,Mercer County,Ewing township,in area,US1-Northwest,out-of-town,"Car, truck, or van: Carpooled",542,0,542,232
2009-2013,Mercer County,Trenton city,New Jersey,Mercer County,Ewing township,in area,US1-Northwest,out-of-town,Public transportation,214,0,214,102
2009-2013,Mercer County,Trenton city,New Jersey,Mercer County,Ewing township,in area,US1-Northwest,out-of-town,Other travel mode,132,0,132,93
2009-2013,Mercer County,Trenton city,New Jersey,Mercer County,Hamilton township,in area,US1-Southwest,out-of-town,"Car, truck, or van: Drove alone",2710,0,2710,345
2009-2013,Mercer County,Trenton city,New Jersey,Mercer County,Hamilton township,in area,US1-Southwest,out-of-town,"Car, truck, or van: Carpooled",1041,0,1041,231
2009-2013,Mercer County,Trenton city,New Jersey,Mercer County,Hamilton township,in area,US1-Southwest,out-of-town,Public transportation,560,0,560,210
2009-2013,Mercer County,Trenton city,New Jersey,Mercer County,Hamilton township,in area,US1-Southwest,out-of-town,Other travel mode,268,0,268,109
2009-2013,Mercer County,Trenton city,New Jersey,Mercer County,Hightstown borough,in area,US1-Southwest,out-of-town,"Car, truck, or van: Drove alone",77,0,77,70
2009-2013,Mercer County,Trenton city,New Jersey,Mercer County,Hightstown borough,in area,US1-Southwest,out-of-town,"Car, truck, or van: Carpooled",64,0,64,61
2009-2013,Mercer County,Trenton city,New Jersey,Mercer County,Hightstown borough,in area,US1-Southwest,out-of-town,Other travel mode,54,0,54,75
2009-2013,Mercer County,Trenton city,New Jersey,Mercer County,Hopewell borough,in area,US1-Northwest,out-of-town,"Car, truck, or van: Drove alone",68,0,68,51
2009-2013,Mercer County,Trenton city,New Jersey,Mercer County,Hopewell borough,in area,US1-Northwest,out-of-town,Public transportation,12,0,12,23
2009-2013,Mercer County,Trenton city,New Jersey,Mercer County,Hopewell township,in area,US1-Northwest,out-of-town,"Car, truck, or van: Drove alone",310,0,310,111
2009-2013,Mercer County,Trenton city,New Jersey,Mercer County,Hopewell township,in area,US1-Northwest,out-of-town,"Car, truck, or van: Carpooled",137,0,137,79
2009-2013,Mercer County,Trenton city,New Jersey,Mercer County,Hopewell township,in area,US1-Northwest,out-of-town,Public transportation,1,0,1,10
2009-2013,Mercer County,Trenton city,New Jersey,Mercer County,Lawrence township,in area,US1-Northwest,out-of-town,"Car, truck, or van: Drove alone",1146,0,1146,259
2009-2013,Mercer County,Trenton city,New Jersey,Mercer County,Lawrence township,in area,US1-Northwest,out-of-town,"Car, truck, or van: Carpooled",514,0,514,196
2009-2013,Mercer County,Trenton city,New Jersey,Mercer County,Lawrence township,in area,US1-Northwest,out-of-town,Public transportation,445,0,445,145
2009-2013,Mercer County,Trenton city,New Jersey,Mercer County,Lawrence township,in area,US1-Northwest,out-of-town,Other travel mode,94,0,94,82
2009-2013,Mercer County,Trenton city,New Jersey,Mercer County,Pennington borough,in area,US1-Northwest,out-of-town,"Car, truck, or van: Drove alone",208,0,208,101
2009-2013,Mercer County,Trenton city,New Jersey,Mercer County,Pennington borough,in area,US1-Northwest,out-of-town,"Car, truck, or van: Carpooled",32,0,32,36
2009-2013,Mercer County,Trenton city,New Jersey,Mercer County,Pennington borough,in area,US1-Northwest,out-of-town,Public transportation,18,0,18,27
2009-2013,Mercer County,Trenton city,New Jersey,Mercer County,Princeton,in area,US1-Northwest,out-of-town,"Car, truck, or van: Drove alone",1183,0,1183,298
2009-2013,Mercer County,Trenton city,New Jersey,Mercer County,Princeton,in area,US1-Northwest,out-of-town,"Car, truck, or van: Carpooled",377,0,377,152
2009-2013,Mercer County,Trenton city,New Jersey,Mercer County,Princeton,in area,US1-Northwest,out-of-town,Public transportation,276,0,276,127
2009-2013,Mercer County,Trenton city,New Jersey,Mercer County,Princeton,in area,US1-Northwest,out-of-town,Other travel mode,110,0,110,97
2009-2013,Mercer County,Trenton city,New Jersey,Mercer County,Robbinsville township,in area,US1-Southwest,out-of-town,"Car, truck, or van: Drove alone",383,0,383,144
2009-2013,Mercer County,Trenton city,New Jersey,Mercer County,Robbinsville township,in area,US1-Southwest,out-of-town,"Car, truck, or van: Carpooled",142,0,142,78
2009-2013,Mercer County,Trenton city,New Jersey,Mercer County,Robbinsville township,in area,US1-Southwest,out-of-town,Public transportation,26,0,26,29
2009-2013,Mercer County,Trenton city,New Jersey,Mercer County,West Windsor township,in area,US1-Southwest,out-of-town,"Car, truck, or van: Drove alone",762,0,762,224
2009-2013,Mercer County,Trenton city,New Jersey,Mercer County,West Windsor township,in area,US1-Southwest,out-of-town,"Car, truck, or van: Carpooled",282,0,282,120
2009-2013,Mercer County,Trenton city,New Jersey,Mercer County,West Windsor township,in area,US1-Southwest,out-of-town,Public transportation,234,0,234,127
2009-2013,Mercer County,Trenton city,New Jersey,Mercer County,West Windsor township,in area,US1-Southwest,out-of-town,Other travel mode,245,0,245,151
2009-2013,Mercer County,Trenton city,New Jersey,Middlesex County,Cranbury township,in area,US1-Southwest,out-of-town,"Car, truck, or van: Drove alone",109,0,109,70
2009-2013,Mercer County,Trenton city,New Jersey,Middlesex County,Cranbury township,in area,US1-Southwest,out-of-town,"Car, truck, or van: Carpooled",32,0,32,50
2009-2013,Mercer County,Trenton city,New Jersey,Middlesex County,Monroe township,in area,US1-Southeast,out-of-town,"Car, truck, or van: Drove alone",59,0,59,51
2009-2013,Mercer County,Trenton city,New Jersey,Middlesex County,Monroe township,in area,US1-Southeast,out-of-town,"Car, truck, or van: Carpooled",27,0,27,32
2009-2013,Mercer County,Trenton city,New Jersey,Middlesex County,New Brunswick city,in area,US1-Northeast,out-of-town,"Car, truck, or van: Drove alone",90,0,90,80
2009-2013,Mercer County,Trenton city,New Jersey,Middlesex County,New Brunswick city,in area,US1-Northeast,out-of-town,Public transportation,17,0,17,21
2009-2013,Mercer County,Trenton city,New Jersey,Middlesex County,Plainsboro township,in area,US1-Southwest,out-of-town,"Car, truck, or van: Drove alone",141,0,141,67
2009-2013,Mercer County,Trenton city,New Jersey,Middlesex County,Plainsboro township,in area,US1-Southwest,out-of-town,"Car, truck, or van: Carpooled",45,0,45,56
2009-2013,Mercer County,Trenton city,New Jersey,Middlesex County,Plainsboro township,in area,US1-Southwest,out-of-town,Public transportation,17,0,17,26
2009-2013,Mercer County,Trenton city,New Jersey,Middlesex County,South Brunswick township,in area,US1-Southeast,out-of-town,"Car, truck, or van: Drove alone",334,0,334,143
2009-2013,Mercer County,Trenton city,New Jersey,Middlesex County,South Brunswick township,in area,US1-Southeast,out-of-town,"Car, truck, or van: Carpooled",27,0,27,32
2009-2013,Mercer County,Trenton city,New Jersey,Middlesex County,South Brunswick township,in area,US1-Southeast,out-of-town,Other travel mode,89,0,89,85
2009-2013,Mercer County,Trenton city,New Jersey,Somerset County,Franklin township,in area,US1-Northeast,out-of-town,"Car, truck, or van: Drove alone",25,0,25,28
2009-2013,Mercer County,Trenton city,New Jersey,Somerset County,Franklin township,in area,US1-Northeast,out-of-town,Public transportation,9,0,9,17
2009-2013,Mercer County,Trenton city,New Jersey,Somerset County,Franklin township,in area,US1-Northeast,out-of-town,Other travel mode,13,0,13,21
2009-2013,Mercer County,Trenton city,New Jersey,Somerset County,Montgomery township,in area,US1-Northeast,out-of-town,"Car, truck, or van: Drove alone",142,0,142,92
2009-2013,Mercer County,Trenton city,New Jersey,Somerset County,Montgomery township,in area,US1-Northeast,out-of-town,"Car, truck, or van: Carpooled",41,0,41,38
2009-2013,Mercer County,Trenton city,New Jersey,Somerset County,Montgomery township,in area,US1-Northeast,out-of-town,Public transportation,59,0,59,78
2009-2013,Mercer County,Trenton city,New Jersey,Somerset County,Montgomery township,in area,US1-Northeast,out-of-town,Other travel mode,13,0,13,22
2011-2015,Mercer County,Trenton city,New Jersey,Atlantic County,Atlantic City city,out of area,NJ-Shore,out-of-town,Data-not-available,16,0,16,17
2011-2015,Mercer County,Trenton city,New Jersey,Atlantic County,Egg Harbor City city,out of area,NJ-Shore,out-of-town,Data-not-available,18,0,18,29
2011-2015,Mercer County,Trenton city,New Jersey,Bergen County,Elmwood Park borough,out of area,NJ-NorthEast,out-of-town,Data-not-available,6,0,6,17
2011-2015,Mercer County,Trenton city,New Jersey,Bergen County,Ho-Ho-Kus borough,out of area,NJ-NorthEast,out-of-town,Data-not-available,15,0,15,22
2011-2015,Mercer County,Trenton city,New Jersey,Burlington County,Bordentown city,out of area,NJ-Southwest,out-of-town,Data-not-available,82,0,82,73
2011-2015,Mercer County,Trenton city,New Jersey,Burlington County,Bordentown township,out of area,NJ-Southwest,out-of-town,Data-not-available,216,0,216,122
2011-2015,Mercer County,Trenton city,New Jersey,Burlington County,Burlington city,out of area,NJ-Southwest,out-of-town,Data-not-available,157,0,157,115
2011-2015,Mercer County,Trenton city,New Jersey,Burlington County,Burlington township,out of area,NJ-Southwest,out-of-town,Data-not-available,111,0,111,66
2011-2015,Mercer County,Trenton city,New Jersey,Burlington County,Edgewater Park township,out of area,NJ-Southwest,out-of-town,Data-not-available,56,0,56,77
2011-2015,Mercer County,Trenton city,New Jersey,Burlington County,Evesham township,out of area,NJ-Southwest,out-of-town,Data-not-available,25,0,25,31
2011-2015,Mercer County,Trenton city,New Jersey,Burlington County,Fieldsboro borough,out of area,NJ-Southwest,out-of-town,Data-not-available,29,0,29,47
2011-2015,Mercer County,Trenton city,New Jersey,Burlington County,Florence township,out of area,NJ-Southwest,out-of-town,Data-not-available,44,0,44,57
2011-2015,Mercer County,Trenton city,New Jersey,Burlington County,Hainesport township,out of area,NJ-Southwest,out-of-town,Data-not-available,9,0,9,14
2011-2015,Mercer County,Trenton city,New Jersey,Burlington County,Lumberton township,out of area,NJ-Southwest,out-of-town,Data-not-available,14,0,14,23
2011-2015,Mercer County,Trenton city,New Jersey,Burlington County,Mansfield township,out of area,NJ-Southwest,out-of-town,Data-not-available,54,0,54,74
2011-2015,Mercer County,Trenton city,New Jersey,Burlington County,Maple Shade township,out of area,NJ-Southwest,out-of-town,Data-not-available,121,0,121,148
2011-2015,Mercer County,Trenton city,New Jersey,Burlington County,Medford township,out of area,NJ-Southwest,out-of-town,Data-not-available,30,0,30,42
2011-2015,Mercer County,Trenton city,New Jersey,Burlington County,Moorestown township,out of area,NJ-Southwest,out-of-town,Data-not-available,50,0,50,50
2011-2015,Mercer County,Trenton city,New Jersey,Burlington County,Mount Holly township,out of area,NJ-Southwest,out-of-town,Data-not-available,33,0,33,42
2011-2015,Mercer County,Trenton city,New Jersey,Burlington County,Mount Laurel township,out of area,NJ-Southwest,out-of-town,Data-not-available,126,0,126,70
2011-2015,Mercer County,Trenton city,New Jersey,Burlington County,New Hanover township,out of area,NJ-Southwest,out-of-town,Data-not-available,69,0,69,78
2011-2015,Mercer County,Trenton city,New Jersey,Burlington County,Pemberton township,out of area,NJ-Southwest,out-of-town,Data-not-available,39,0,39,40
2011-2015,Mercer County,Trenton city,New Jersey,Burlington County,Southampton township,out of area,NJ-Southwest,out-of-town,Data-not-available,9,0,9,15
2011-2015,Mercer County,Trenton city,New Jersey,Burlington County,Springfield township,out of area,NJ-Southwest,out-of-town,Data-not-available,27,0,27,37
2011-2015,Mercer County,Trenton city,New Jersey,Burlington County,Willingboro township,out of area,NJ-Southwest,out-of-town,Data-not-available,31,0,31,37
2011-2015,Mercer County,Trenton city,New Jersey,Camden County,Bellmawr borough,out of area,NJ-Southwest,out-of-town,Data-not-available,30,0,30,48
2011-2015,Mercer County,Trenton city,New Jersey,Camden County,Camden city,out of area,NJ-Southwest,out-of-town,Data-not-available,75,0,75,55
2011-2015,Mercer County,Trenton city,New Jersey,Camden County,Cherry Hill township,out of area,NJ-Southwest,out-of-town,Data-not-available,52,0,52,49
2011-2015,Mercer County,Trenton city,New Jersey,Camden County,Haddon township,out of area,NJ-Southwest,out-of-town,Data-not-available,17,0,17,27
2011-2015,Mercer County,Trenton city,New Jersey,Camden County,Pennsauken township,out of area,NJ-Southwest,out-of-town,Data-not-available,22,0,22,26
2011-2015,Mercer County,Trenton city,New Jersey,Camden County,Voorhees township,out of area,NJ-Southwest,out-of-town,Data-not-available,34,0,34,37
2011-2015,Mercer County,Trenton city,New Jersey,Camden County,Winslow township,out of area,NJ-Southwest,out-of-town,Data-not-available,9,0,9,16
2011-2015,Mercer County,Trenton city,New Jersey,Essex County,Irvington township,out of area,NJ-NorthEast,out-of-town,Data-not-available,15,0,15,25
2011-2015,Mercer County,Trenton city,New Jersey,Essex County,Montclair township,out of area,NJ-NorthEast,out-of-town,Data-not-available,15,0,15,25
2011-2015,Mercer County,Trenton city,New Jersey,Essex County,Newark city,out of area,NJ-NorthEast,out-of-town,Data-not-available,166,0,166,93
2011-2015,Mercer County,Trenton city,New Jersey,Gloucester County,Deptford township,out of area,NJ-Southwest,out-of-town,Data-not-available,24,0,24,38
2011-2015,Mercer County,Trenton city,New Jersey,Gloucester County,Glassboro borough,out of area,NJ-Southwest,out-of-town,Data-not-available,15,0,15,24
2011-2015,Mercer County,Trenton city,New Jersey,Hudson County,Jersey City city,out of area,NJ-NorthEast,out-of-town,Data-not-available,23,0,23,23
2009-2013,Mercer County,Hopewell borough,New Jersey,Mercer County,Hopewell borough,in area,in-town,in-town,"Car, truck, or van: Drove alone",68,68,0,26
2009-2013,Mercer County,Hopewell borough,New Jersey,Mercer County,Hopewell borough,in area,in-town,in-town,Other travel mode,119,119,0,37
2011-2015,Mercer County,Hopewell borough,New Jersey,Mercer County,Hopewell borough,in area,in-town,in-town,Data-not-available,147,147,0,37
2011-2015,Mercer County,Trenton city,New Jersey,Hunterdon County,Clinton township,out of area,NJ-Northwest,out-of-town,Data-not-available,14,0,14,20
2011-2015,Mercer County,Trenton city,New Jersey,Hunterdon County,Delaware township,out of area,NJ-Northwest,out-of-town,Data-not-available,23,0,23,39
2011-2015,Mercer County,Trenton city,New Jersey,Hunterdon County,Franklin township,in area,US1-Northeast,out-of-town,Data-not-available,28,0,28,44
2011-2015,Mercer County,Trenton city,New Jersey,Hunterdon County,Lambertville city,out of area,NJ-Northwest,out-of-town,Data-not-available,32,0,32,31
2011-2015,Mercer County,Trenton city,New Jersey,Hunterdon County,Union township,out of area,NJ-NorthEast,out-of-town,Data-not-available,31,0,31,35
2011-2015,Mercer County,Trenton city,New Jersey,Hunterdon County,West Amwell township,out of area,NJ-Northwest,out-of-town,Data-not-available,41,0,41,45
2011-2015,Mercer County,Trenton city,New Jersey,Mercer County,East Windsor township,in area,US1-Southwest,out-of-town,Data-not-available,408,0,408,217
2011-2015,Mercer County,Trenton city,New Jersey,Mercer County,Ewing township,in area,US1-Northwest,out-of-town,Data-not-available,2959,0,2959,345
2011-2015,Mercer County,Trenton city,New Jersey,Mercer County,Hamilton township,in area,US1-Southwest,out-of-town,Data-not-available,4237,0,4237,498
2011-2015,Mercer County,Trenton city,New Jersey,Mercer County,Hightstown borough,in area,US1-Southwest,out-of-town,Data-not-available,158,0,158,90
2011-2015,Mercer County,Trenton city,New Jersey,Mercer County,Hopewell borough,in area,US1-Northwest,out-of-town,Data-not-available,89,0,89,58
2011-2015,Mercer County,Trenton city,New Jersey,Mercer County,Hopewell township,in area,US1-Northwest,out-of-town,Data-not-available,495,0,495,142
2011-2015,Mercer County,Trenton city,New Jersey,Mercer County,Lawrence township,in area,US1-Northwest,out-of-town,Data-not-available,2093,0,2093,341
2011-2015,Mercer County,Trenton city,New Jersey,Mercer County,Pennington borough,in area,US1-Northwest,out-of-town,Data-not-available,338,0,338,145
2011-2015,Mercer County,Trenton city,New Jersey,Mercer County,Princeton,in area,US1-Northwest,out-of-town,Data-not-available,1505,0,1505,275
2011-2015,Mercer County,Trenton city,New Jersey,Mercer County,Robbinsville township,in area,US1-Southwest,out-of-town,Data-not-available,632,0,632,167
2011-2015,Mercer County,Trenton city,New Jersey,Mercer County,Trenton city,in area,in-town,in-town,Data-not-available,10578,10578,0,675
2011-2015,Mercer County,Trenton city,New Jersey,Mercer County,West Windsor township,in area,US1-Southwest,out-of-town,Data-not-available,1396,0,1396,285
2011-2015,Mercer County,Trenton city,New Jersey,Middlesex County,Cranbury township,in area,US1-Southwest,out-of-town,Data-not-available,159,0,159,87
2011-2015,Mercer County,Trenton city,New Jersey,Middlesex County,East Brunswick township,out of area,NJ-NorthEast,out-of-town,Data-not-available,14,0,14,16
2011-2015,Mercer County,Trenton city,New Jersey,Middlesex County,Edison township,out of area,NJ-NorthEast,out-of-town,Data-not-available,75,0,75,57
2011-2015,Mercer County,Trenton city,New Jersey,Middlesex County,Monroe township,in area,US1-Southeast,out-of-town,Data-not-available,64,0,64,48
2011-2015,Mercer County,Trenton city,New Jersey,Middlesex County,New Brunswick city,in area,US1-Northeast,out-of-town,Data-not-available,21,0,21,21
2011-2015,Mercer County,Trenton city,New Jersey,Middlesex County,North Brunswick township,in area,US1-Northeast,out-of-town,Data-not-available,49,0,49,32
2011-2015,Mercer County,Trenton city,New Jersey,Middlesex County,Old Bridge township,out of area,NJ-NorthEast,out-of-town,Data-not-available,17,0,17,26
2011-2015,Mercer County,Trenton city,New Jersey,Middlesex County,Perth Amboy city,out of area,NJ-NorthEast,out-of-town,Data-not-available,58,0,58,96
2011-2015,Mercer County,Trenton city,New Jersey,Middlesex County,Piscataway township,out of area,NJ-NorthEast,out-of-town,Data-not-available,107,0,107,73
2011-2015,Mercer County,Trenton city,New Jersey,Middlesex County,Plainsboro township,in area,US1-Southwest,out-of-town,Data-not-available,199,0,199,95
2011-2015,Mercer County,Trenton city,New Jersey,Middlesex County,Sayreville borough,out of area,NJ-NorthEast,out-of-town,Data-not-available,27,0,27,28
2011-2015,Mercer County,Trenton city,New Jersey,Middlesex County,South Amboy city,out of area,NJ-NorthEast,out-of-town,Data-not-available,24,0,24,36
2011-2015,Mercer County,Trenton city,New Jersey,Middlesex County,South Brunswick township,in area,US1-Southeast,out-of-town,Data-not-available,223,0,223,97
2011-2015,Mercer County,Trenton city,New Jersey,Middlesex County,South Plainfield borough,out of area,NJ-NorthEast,out-of-town,Data-not-available,13,0,13,19
2011-2015,Mercer County,Trenton city,New Jersey,Middlesex County,Woodbridge township,out of area,NJ-NorthEast,out-of-town,Data-not-available,24,0,24,28
2011-2015,Mercer County,Trenton city,New Jersey,Monmouth County,Aberdeen township,out of area,NJ-Shore,out-of-town,Data-not-available,7,0,7,13
2011-2015,Mercer County,Trenton city,New Jersey,Monmouth County,Allentown borough,out of area,NJ-Shore,out-of-town,Data-not-available,19,0,19,23
2011-2015,Mercer County,Trenton city,New Jersey,Monmouth County,Asbury Park city,out of area,NJ-Shore,out-of-town,Data-not-available,20,0,20,31
2011-2015,Mercer County,Trenton city,New Jersey,Monmouth County,Belmar borough,out of area,NJ-Shore,out-of-town,Data-not-available,13,0,13,18
2011-2015,Mercer County,Trenton city,New Jersey,Monmouth County,Eatontown borough,out of area,NJ-Shore,out-of-town,Data-not-available,6,0,6,15
2011-2015,Mercer County,Trenton city,New Jersey,Monmouth County,Freehold township,out of area,NJ-Shore,out-of-town,Data-not-available,32,0,32,40
2011-2015,Mercer County,Trenton city,New Jersey,Monmouth County,Manalapan township,out of area,NJ-Shore,out-of-town,Data-not-available,22,0,22,35
2011-2015,Mercer County,Trenton city,New Jersey,Monmouth County,Middletown township,out of area,NJ-Shore,out-of-town,Data-not-available,18,0,18,29
2011-2015,Mercer County,Trenton city,New Jersey,Monmouth County,Neptune township,out of area,NJ-Shore,out-of-town,Data-not-available,9,0,9,14
2011-2015,Mercer County,Trenton city,New Jersey,Monmouth County,Upper Freehold township,out of area,NJ-Shore,out-of-town,Data-not-available,46,0,46,59
2011-2015,Mercer County,Trenton city,New Jersey,Monmouth County,Wall township,out of area,NJ-Shore,out-of-town,Data-not-available,6,0,6,13
2011-2015,Mercer County,Trenton city,New Jersey,Monmouth County,West Long Branch borough,out of area,NJ-Shore,out-of-town,Data-not-available,17,0,17,27
2011-2015,Mercer County,Trenton city,New Jersey,Ocean County,Brick township,out of area,NJ-Shore,out-of-town,Data-not-available,10,0,10,12
2011-2015,Mercer County,Trenton city,New Jersey,Ocean County,Jackson township,out of area,NJ-Shore,out-of-town,Data-not-available,45,0,45,40
2011-2015,Mercer County,Trenton city,New Jersey,Ocean County,Lakehurst borough,out of area,NJ-Shore,out-of-town,Data-not-available,7,0,7,11
2011-2015,Mercer County,Trenton city,New Jersey,Ocean County,Lakewood township,out of area,NJ-Shore,out-of-town,Data-not-available,28,0,28,34
2011-2015,Mercer County,Trenton city,New Jersey,Ocean County,Plumsted township,out of area,NJ-Shore,out-of-town,Data-not-available,5,0,5,10
2011-2015,Mercer County,Trenton city,New Jersey,Ocean County,Seaside Park borough,out of area,NJ-Shore,out-of-town,Data-not-available,13,0,13,22
2011-2015,Mercer County,Trenton city,New Jersey,Passaic County,Passaic city,out of area,NJ-NorthEast,out-of-town,Data-not-available,12,0,12,20
2011-2015,Mercer County,Trenton city,New Jersey,Passaic County,Paterson city,out of area,NJ-NorthEast,out-of-town,Data-not-available,34,0,34,54
2011-2015,Mercer County,Trenton city,New Jersey,Somerset County,Bedminster township,out of area,NJ-NorthEast,out-of-town,Data-not-available,31,0,31,49
2011-2015,Mercer County,Trenton city,New Jersey,Somerset County,Branchburg township,out of area,NJ-NorthEast,out-of-town,Data-not-available,10,0,10,17
2011-2015,Mercer County,Trenton city,New Jersey,Somerset County,Bridgewater township,out of area,NJ-NorthEast,out-of-town,Data-not-available,54,0,54,55
2011-2015,Mercer County,Trenton city,New Jersey,Somerset County,Franklin township,in area,US1-Northeast,out-of-town,Data-not-available,51,0,51,43
2011-2015,Mercer County,Trenton city,New Jersey,Somerset County,Hillsborough township,in area,US1-Northeast,out-of-town,Data-not-available,183,0,183,278
2011-2015,Mercer County,Trenton city,New Jersey,Somerset County,Manville borough,out of area,NJ-NorthEast,out-of-town,Data-not-available,32,0,32,47
2011-2015,Mercer County,Trenton city,New Jersey,Somerset County,Montgomery township,in area,US1-Northeast,out-of-town,Data-not-available,260,0,260,124
2011-2015,Mercer County,Trenton city,New Jersey,Somerset County,Peapack and Gladstone borough,out of area,NJ-NorthEast,out-of-town,Data-not-available,13,0,13,21
2011-2015,Mercer County,Trenton city,New Jersey,Somerset County,Somerville borough,out of area,NJ-NorthEast,out-of-town,Data-not-available,12,0,12,18
2011-2015,Mercer County,Trenton city,New Jersey,Somerset County,Watchung borough,out of area,NJ-NorthEast,out-of-town,Data-not-available,41,0,41,56
2011-2015,Mercer County,Trenton city,New Jersey,Union County,Elizabeth city,out of area,NJ-NorthEast,out-of-town,Data-not-available,7,0,7,11
2011-2015,Mercer County,Trenton city,New Jersey,Union County,Kenilworth borough,out of area,NJ-NorthEast,out-of-town,Data-not-available,15,0,15,18
2011-2015,Mercer County,Trenton city,New Jersey,Union County,Linden city,out of area,NJ-NorthEast,out-of-town,Data-not-available,9,0,9,16
2011-2015,Mercer County,Trenton city,New Jersey,Union County,New Providence borough,out of area,NJ-NorthEast,out-of-town,Data-not-available,28,0,28,38
2011-2015,Mercer County,Trenton city,New Jersey,Union County,Plainfield city,out of area,NJ-NorthEast,out-of-town,Data-not-available,12,0,12,21
2011-2015,Mercer County,Trenton city,New Jersey,Union County,Rahway city,out of area,NJ-NorthEast,out-of-town,Data-not-available,15,0,15,19
2011-2015,Mercer County,Trenton city,New Jersey,Union County,Springfield township,out of area,NJ-NorthEast,out-of-town,Data-not-available,7,0,7,11
2011-2015,Mercer County,Trenton city,New Jersey,Warren County,Lopatcong township,out of area,NJ-Northwest,out-of-town,Data-not-available,13,0,13,21
2009-2013,Mercer County,West Windsor township,New Jersey,Burlington County,Burlington township,out of area,NJ-Southwest,out-of-town,"Car, truck, or van: Drove alone",21,0,21,25
2009-2013,Mercer County,West Windsor township,New Jersey,Burlington County,Burlington township,out of area,NJ-Southwest,out-of-town,"Car, truck, or van: Carpooled",31,0,31,47
2009-2013,Mercer County,Hopewell township,New Jersey,Mercer County,Hopewell township,in area,in-town,in-town,"Car, truck, or van: Drove alone",803,803,0,204
2009-2013,Mercer County,Hopewell township,New Jersey,Mercer County,Hopewell township,in area,in-town,in-town,"Car, truck, or van: Carpooled",40,40,0,46
2009-2013,Mercer County,Hopewell township,New Jersey,Mercer County,Hopewell township,in area,in-town,in-town,Other travel mode,747,747,0,184
2011-2015,Mercer County,Hopewell township,New Jersey,Mercer County,Hopewell township,in area,in-town,in-town,Data-not-available,1580,1580,0,252
2009-2013,Mercer County,West Windsor township,New Jersey,Burlington County,Mount Laurel township,out of area,NJ-Southwest,out-of-town,"Car, truck, or van: Drove alone",54,0,54,43
2009-2013,Mercer County,West Windsor township,New Jersey,Camden County,Cherry Hill township,out of area,NJ-Southwest,out-of-town,"Car, truck, or van: Drove alone",110,0,110,71
2009-2013,Mercer County,West Windsor township,New Jersey,Essex County,Newark city,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Drove alone",55,0,55,56
2009-2013,Mercer County,West Windsor township,New Jersey,Essex County,Newark city,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Carpooled",13,0,13,19
2009-2013,Mercer County,West Windsor township,New Jersey,Essex County,Newark city,out of area,NJ-NorthEast,out-of-town,Public transportation,231,0,231,114
2009-2013,Mercer County,West Windsor township,New Jersey,Hudson County,Jersey City city,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Drove alone",27,0,27,30
2009-2013,Mercer County,West Windsor township,New Jersey,Hudson County,Jersey City city,out of area,NJ-NorthEast,out-of-town,Public transportation,239,0,239,129
