Census,CountyOrigin,MunicipalityOrigin,DestinationState,DestinationCounty,DestinationMunicipality,LeavingArea,DirectionalCategories,InTown,ModeToWork,TotalEstCommutersOUT,InCityCommutersOUT,OutOfTownCommutersOUT,MarginOfError
2011-2015,Mercer County,East Windsor township,New Jersey,Mercer County,Hamilton township,in area,US1-Southwest,out-of-town,Data-not-available,538,0,538,239
2011-2015,Mercer County,East Windsor township,New Jersey,Mercer County,Hightstown borough,in area,US1-Southwest,out-of-town,Data-not-available,480,0,480,218
2011-2015,Mercer County,East Windsor township,New Jersey,Mercer County,Hopewell borough,in area,US1-Northwest,out-of-town,Data-not-available,16,0,16,27
2011-2015,Mercer County,East Windsor township,New Jersey,Mercer County,Hopewell township,in area,US1-Northwest,out-of-town,Data-not-available,115,0,115,95
2011-2015,Mercer County,East Windsor township,New Jersey,Mercer County,Lawrence township,in area,US1-Northwest,out-of-town,Data-not-available,487,0,487,216
2011-2015,Mercer County,East Windsor township,New Jersey,Mercer County,Pennington borough,in area,US1-Northwest,out-of-town,Data-not-available,46,0,46,44
2011-2015,Mercer County,East Windsor township,New Jersey,Mercer County,Princeton,in area,US1-Northwest,out-of-town,Data-not-available,563,0,563,188
2011-2015,Mercer County,East Windsor township,New Jersey,Mercer County,Robbinsville township,in area,US1-Southwest,out-of-town,Data-not-available,477,0,477,200
2011-2015,Mercer County,East Windsor township,New Jersey,Mercer County,Trenton city,in area,US1-Northwest,out-of-town,Data-not-available,579,0,579,209
2011-2015,Mercer County,East Windsor township,New Jersey,Mercer County,West Windsor township,in area,US1-Southwest,out-of-town,Data-not-available,582,0,582,172
2011-2015,Mercer County,East Windsor township,New Jersey,Middlesex County,Carteret borough,out of area,NJ-NorthEast,out-of-town,Data-not-available,32,0,32,37
2011-2015,Mercer County,East Windsor township,New Jersey,Middlesex County,Cranbury township,in area,US1-Southwest,out-of-town,Data-not-available,394,0,394,145
2011-2015,Mercer County,East Windsor township,New Jersey,Middlesex County,East Brunswick township,out of area,NJ-NorthEast,out-of-town,Data-not-available,230,0,230,131
2011-2015,Mercer County,East Windsor township,New Jersey,Middlesex County,Edison township,out of area,NJ-NorthEast,out-of-town,Data-not-available,138,0,138,89
2011-2015,Mercer County,East Windsor township,New Jersey,Middlesex County,Highland Park borough,out of area,NJ-NorthEast,out-of-town,Data-not-available,17,0,17,26
2011-2015,Mercer County,East Windsor township,New Jersey,Middlesex County,Jamesburg borough,in area,US1-Southeast,out-of-town,Data-not-available,76,0,76,76
2011-2015,Mercer County,East Windsor township,New Jersey,Middlesex County,Metuchen borough,out of area,NJ-NorthEast,out-of-town,Data-not-available,11,0,11,18
2011-2015,Mercer County,East Windsor township,New Jersey,Middlesex County,Monroe township,in area,US1-Southeast,out-of-town,Data-not-available,386,0,386,244
2011-2015,Mercer County,East Windsor township,New Jersey,Middlesex County,New Brunswick city,in area,US1-Northeast,out-of-town,Data-not-available,293,0,293,133
2011-2015,Mercer County,East Windsor township,New Jersey,Middlesex County,North Brunswick township,in area,US1-Northeast,out-of-town,Data-not-available,101,0,101,66
2011-2015,Mercer County,East Windsor township,New Jersey,Middlesex County,Old Bridge township,out of area,NJ-NorthEast,out-of-town,Data-not-available,28,0,28,40
2011-2015,Mercer County,East Windsor township,New Jersey,Middlesex County,Perth Amboy city,out of area,NJ-NorthEast,out-of-town,Data-not-available,43,0,43,67
2009-2013,Mercer County,East Windsor township,New Jersey,Mercer County,East Windsor township,in area,in-town,in-town,"Car, truck, or van: Drove alone",1088,1088,0,255
2009-2013,Mercer County,East Windsor township,New Jersey,Mercer County,East Windsor township,in area,in-town,in-town,"Car, truck, or van: Carpooled",135,135,0,100
2009-2013,Mercer County,East Windsor township,New Jersey,Mercer County,East Windsor township,in area,in-town,in-town,Public transportation,2,2,0,4
2011-2015,Mercer County,East Windsor township,New Jersey,Middlesex County,Piscataway township,out of area,NJ-NorthEast,out-of-town,Data-not-available,65,0,65,50
2011-2015,Mercer County,East Windsor township,New Jersey,Middlesex County,Plainsboro township,in area,US1-Southwest,out-of-town,Data-not-available,285,0,285,115
2011-2015,Mercer County,East Windsor township,New Jersey,Middlesex County,Sayreville borough,out of area,NJ-NorthEast,out-of-town,Data-not-available,44,0,44,45
